Dato,ALT,DF,EL,KD,KF,LA,NB,RV,S,SF,UFG,V,udpeget af SF,Date
2004-10-31,0.0,-0.328125,-0.3984375,0.0625,0.5,0.0,0.0,0.06896551724137931,-0.0425531914893617,-0.17757009345794392,0.2,-0.1111111111111111,0.0,2004-10-31
2004-11-30,0.0,-0.2909090909090909,-0.26785714285714285,-0.18518518518518517,0.0,0.0,0.0,0.16279069767441862,0.008771929824561403,-0.09009009009009009,-0.4444444444444444,0.0,0.0,2004-11-30
2004-12-31,0.0,-0.45098039215686275,-0.17419354838709677,-0.3,0.0,0.0,0.0,0.0,-0.15151515151515152,-0.07344632768361582,0.07692307692307693,0.3,0.0,2004-12-31
2005-01-31,0.0,-0.2033898305084746,-0.1016949152542373,-0.125,0.0,0.0,0.0,0.0,-0.11627906976744186,-0.028846153846153848,-0.1,0.1111111111111111,0.0,2005-01-31
2005-02-28,0.0,-0.9047619047619048,0.11538461538461539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2005-02-28
2005-03-31,0.0,-0.2987012987012987,-0.14035087719298245,0.0,-0.18181818181818182,0.0,0.0,-0.05263157894736842,-0.0594059405940594,-0.0196078431372549,0.21428571428571427,0.0,0.0,2005-03-31
2005-04-30,0.0,-0.06315789473684211,-0.13636363636363635,0.0,0.2222222222222222,0.0,0.0,-0.05660377358490566,-0.14432989690721648,-0.36046511627906974,0.16129032258064516,0.0,0.0,2005-04-30
2005-05-31,0.0,-0.12941176470588237,-0.22021660649819494,0.0,0.0,0.0,0.0,0.024390243902439025,-0.023121387283236993,-0.2,-0.05555555555555555,-0.3333333333333333,0.0,2005-05-31
2005-06-30,0.0,-0.15555555555555556,-0.14545454545454545,0.0,-0.4,0.0,0.0,0.038461538461538464,-0.04580152671755725,0.046875,-0.42857142857142855,-0.7222222222222222,0.0,2005-06-30
2005-07-31,0.0,-0.1978021978021978,-0.08092485549132948,0.0,0.0,0.0,0.0,0.2222222222222222,-0.22580645161290322,-0.12121212121212122,-0.6666666666666666,0.0,0.0,2005-07-31
2005-08-31,0.0,-0.4077669902912621,-0.1724137931034483,0.0,0.125,0.0,0.0,-0.34146341463414637,-0.06315789473684211,-0.008928571428571428,0.07692307692307693,0.0,0.0,2005-08-31
2005-09-30,0.0,-0.13157894736842105,-0.015789473684210527,0.0,0.0,0.0,0.0,0.0,-0.14184397163120568,-0.0641025641025641,0.2222222222222222,0.0,0.0,2005-09-30
2005-10-31,0.0,-0.16923076923076924,-0.0670391061452514,0.0,0.0,0.0,0.0,-0.03636363636363636,-0.19230769230769232,-0.012658227848101266,0.3333333333333333,0.0,0.0,2005-10-31
2005-11-30,0.0,-0.08860759493670886,-0.13986013986013987,0.0,0.0,0.0,0.0,0.2857142857142857,-0.1032258064516129,-0.011904761904761904,0.0,-0.3333333333333333,0.0,2005-11-30
2005-12-31,0.0,-0.09900990099009901,-0.014598540145985401,0.0,0.0,0.0,0.0,0.12121212121212122,-0.11206896551724138,0.0,0.14285714285714285,0.0,0.0,2005-12-31
2006-01-31,0.0,-0.046242774566473986,-0.11731843575418995,0.0,0.0,0.0,0.0,0.0,-0.06532663316582915,-0.0875,-0.16666666666666666,0.25,0.0,2006-01-31
2006-02-28,0.0,-0.0078125,-0.11827956989247312,0.0,0.0,0.0,0.0,0.0,-0.1721311475409836,-0.14606741573033707,0.0,0.0,0.0,2006-02-28
2006-03-31,0.0,-0.08333333333333333,-0.048672566371681415,0.0,0.0,0.0,0.0,0.12121212121212122,0.06422018348623854,-0.09944751381215469,0.0,0.6666666666666666,0.0,2006-03-31
2006-04-30,0.0,-0.34782608695652173,-0.3333333333333333,0.0,0.0,0.0,0.0,-0.03125,-0.2956989247311828,-0.12903225806451613,0.0,-2.0,0.0,2006-04-30
2006-05-31,0.0,-0.1337579617834395,-0.15879828326180256,0.0,0.0,0.0,0.0,-0.09722222222222222,-0.05263157894736842,-0.2054794520547945,0.0,0.1111111111111111,0.0,2006-05-31
2006-06-30,0.0,-0.36082474226804123,-0.2897727272727273,0.0,0.0,0.0,0.0,-0.2777777777777778,0.025735294117647058,-0.05970149253731343,0.0,0.0,0.0,2006-06-30
2006-07-31,0.0,-0.40594059405940597,-0.211864406779661,0.0,0.0,0.0,0.0,-0.15384615384615385,-0.06666666666666667,-0.07272727272727272,0.0,0.0,0.0,2006-07-31
2006-08-31,0.0,-0.030534351145038167,-0.006535947712418301,0.0,-1.0,0.0,0.0,0.17647058823529413,-0.058333333333333334,-0.1717171717171717,0.0,0.0,0.0,2006-08-31
2006-09-30,0.0,-0.06349206349206349,-0.1623931623931624,0.0,-0.15384615384615385,0.0,0.0,0.375,0.06206896551724138,0.10256410256410256,0.0,-1.0,0.0,2006-09-30
2006-10-31,0.0,-0.13414634146341464,-0.35064935064935066,0.0,0.0,0.0,0.0,0.08,-0.09467455621301775,-0.13513513513513514,-0.1111111111111111,0.0,0.0,2006-10-31
2006-11-30,0.0,-0.20952380952380953,-0.16818181818181818,0.0,0.0,0.0,0.0,0.19444444444444445,-0.1262135922330097,-0.06060606060606061,-1.5714285714285714,-0.125,0.0,2006-11-30
2006-12-31,0.0,-0.08421052631578947,-0.38571428571428573,0.0,0.0,0.0,0.0,-0.2608695652173913,-0.08080808080808081,-0.23880597014925373,-0.5714285714285714,-1.1428571428571428,0.0,2006-12-31
2007-01-31,0.0,-0.18471337579617833,-0.34439834024896265,0.0,-1.0,0.0,0.0,-0.2222222222222222,-0.24444444444444444,-0.12598425196850394,-0.5789473684210527,0.0,0.0,2007-01-31
2007-02-28,0.0,-0.16666666666666666,-0.27309236947791166,0.0,0.0,0.0,0.0,-0.4642857142857143,-0.025210084033613446,-0.12037037037037036,-0.3157894736842105,-1.3333333333333333,0.0,2007-02-28
